Hugo_Symbol,SYMBOL
Existing_variation,rsID
CHROM,CHROM
POS,POS
HGVSp_Short,HGVSp
HGVSc,HGVSc
EXON,EXON
Consequence,Consequence
gnomADg_AF,gnomAD.AF
mgrb_MGRB_AF,MGRB.AF
ONCOGENIC,Oncokb.ONCOGENIC
pfam,pfam
pirsf,pirsf
CADD_PHRED,CADD
PolyPhen,PolyPhen
ClinVar_CLNSIG,ClinVar.Sig
ClinVar_CLNDN,ClinVar.Disease
ClinVar,ClinVar
CMC.CGC_TIER,CancerGeneCensus.Tier
CMC.MUTATION_SIGNIFICANCE_TIER,CancerMutationCensus.Tier
CMC.ONC_TSG,CMC.Oncogene
CMC.DISEASE,Cancer.Disease.Freq
HallmarkPathways,HallmarkPathways
CMC.CLINVAR_TRAIT,ClinVar_Trait
CLIN_SIG,ClinSig
MAX_AF,gnomad_MAX_AF
IMPACT,IMPACT
REVEL,REVEL